Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:31,0.001s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:31,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:31,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-010,Edge Chromium 117,User ingin mengurutkan harga Reseller product dari yang Terbesar sampai Terkecil,,2023-10-06 09:57:31,2023-10-06 09:57:55,24.115s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-009""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:54,22.854s,PASSED
"click(findTestObject(""Product Admin/Button Sort Reseller""))",Edge Chromium 117,,,2023-10-06 09:57:54,2023-10-06 09:57:54,0.360s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Harga Reseller""), 10)",Edge Chromium 117,,,2023-10-06 09:57:54,2023-10-06 09:57:55,0.523s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:57:55,0.000s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:57:55,0.001s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:57:55,0.108s,PASSED
"Arrays.sort(arrProdukNameSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:57:55,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:57:55,0.001s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:57:55,0.000s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:57:55,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-011,Edge Chromium 117,User ingin mengurutkan harga Konsumen product dari yang Terkecil sampai Terbesar,,2023-10-06 09:57:55,2023-10-06 09:58:18,23.048s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:57:55,2023-10-06 09:58:17,21.884s,PASSED
"click(findTestObject(""Product Admin/Button Sort Konsumen""))",Edge Chromium 117,,,2023-10-06 09:58:17,2023-10-06 09:58:17,0.370s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data harga Konsumen""), 10)",Edge Chromium 117,,,2023-10-06 09:58:17,2023-10-06 09:58:18,0.419s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:18,0.000s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:18,0.001s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:18,0.102s,PASSED
Arrays.sort(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:58:18,2023-10-06 09:58:18,0.001s,PASSED
